County,City,Long,Lat,Department,CAP,Link,Document Type,Program Name,Name,Title,Email,Phone,Date Issued,Date Expired,Focus Area,Summary,Program Type,Collaboration,Target Population,Funding Source,Outcome Measures,Action Plan,Notes
"Cook, Will",Park Forest,-87.6868,41.4817,Village of Park Forest,Yes,https://www.villageofparkforest.com/DocumentCenter/View/653/Park-Forest-Sustainability-Plan?bidId=,Sustainability Plan,Growing Green: Park Forest Sustainability Plan,NA,NA,NA,NA,14 May 2012,NA,"Development Patterns, Transportation and Mobility, Open Space and Ecosystems, Waste Management, Water Management, Energy Efficiency, Greenhouse Gas Reduction, Green Economy, Local Food Systems, Municipal Policies and Practices, Education, Community Health and Wellness, Housing Diversity, Arts and Culture","Park Forest focuses on promoting community health by addressing obesity, heart disease, and diabetes through healthy eating, physical activity, and social connections. With 63% of adults and 40% of children in suburban Cook County overweight or obese, the Village aims to engage residents in health and wellness activities led by the Health, Recreation and Parks, and Police Departments.

Key goals include connecting residents, especially seniors, to health services, proactive disease prevention, and enhancing educational opportunities for healthy living. The Village's strategies involve:

- Expanding the Health Department’s Role to lead community health efforts, establish a public health advisory committee, and collect data to guide future initiatives.
- Enhancing Health Programs to increase participation through targeted activities and collaborative event promotion.
- Improving Community Safety to encourage physical activity by addressing safety concerns in public spaces.
- Implementing Health Impact Assessments (HIAs) to consider health outcomes in new developments.", Public Awareness / Outreach / Community Engagement,"VPF HD, health advisory committee, VPF HD, VPF DRP, VPF PD, VPF DEDP, Federal Partners",NA,Federal Grants,Pollution Reduction,"- Expand the Health Department’s Role: Lead community health efforts with a public health advisory committee, guiding health initiatives through data collection and collaborative programming.

- Enhance Health-related Programs: Boost participation by expanding activities, especially for underrepresented groups, and promote events through joint community outreach.

- Increase Safety: Improve safety in public areas to encourage outdoor activities by collaborating with stakeholders to address issues like poor lighting and unsafe pathways.

- Implement Health Impact Assessments (HIAs): Integrate HIAs into planning to evaluate health outcomes of new developments, focusing on physical activity, safety, and environmental quality.",
Cook,Skokie,-87.74,42.036,Village of Skokie,Yes,https://www.skokie.org/DocumentCenter/View/395/Sustainability-Plan-PDF?bidId=,Sustainability Plan,Village of Skokie’s Environmental Sustainability Plan,Max Slankard,Director of Public Works,NA,NA,June 2016,2021,"Water Management, Air Quality, Energy Conservation, Transportation, Waste Management","Focuses on reducing air pollution, water conservation, energy efficiency, and promoting a sustainable built environment to improve community health.","Public Awareness / Outreach / Community Engagement, Policy Advocacy","Local Partners, Community Partnership","Adults, Health Vulnerable","Federal Grants, State Funding","Pollution Reduction, Air Quality Improvement","Strategies include promoting water conservation, reducing vehicle emissions, enhancing energy efficiency, and increasing community awareness about sustainable practices.",
Champaign,Urbana,-88.1973,40.1101,City of Urbana,Yes,https://www.urbanaillinois.us/sites/default/files/attachments/ucap-p2.pdf,Climate Action Plan,Climate Action Plan : Phase 2,Scott Tess,Environmental Sustainability Manager,NA,NA,2015,2020,"Emissions Reduction, Renewable Energy, Climate Adaptation, Community Engagement",The plan does not specifically address healthcare.,"Policy Advocacy, Public Awareness / Outreach, Environmental Assessments, Crisis Management","Community Partnership, State Partners",NA,NA,"Pollution Reduction, Air Quality Improvement","Focuses on energy efficiency, renewable energy adoption, and reduction in greenhouse gas emissions, with emphasis on community engagement and policy development.",
DuPage,Warrenville,-88.1875,41.821,City Government,Yes,https://il-warrenville.civicplus.com/DocumentCenter/View/4592/Final-CAP-01-20-16?bidId=,Climate Action Plan,Climate Action Plan,David Brummel,Mayor,NA,NA,01 February 2016,NA,"Emission Reduction, Energy Conservation","The Warrenville Climate Action Plan focuses on improving air quality and public health as part of its strategies to reduce greenhouse gas emissions. It highlights the benefits of reducing GHG emissions, which include improved community livability and air quality.","Policy Advocacy, Research","Local Partners, State Partners",NA,State Funding,Health Outcomes,"- Energy Efficiency:
Encouraging energy audits and retrofits to reduce energy consumption.
Promoting renewable energy systems.
Transportation Initiatives:
- Reducing vehicle idling.
Promoting walking, biking, and alternative fuel vehicles.
Waste Management:
- Reducing wasted food and promoting composting.
Encouraging sustainable materials management and recycling.
- Urban Forestry and Landscaping:
Enhancing urban green spaces and natural landscaping to improve air quality.",
Winnebago,Rockford,-89.0646,42.2588,Rockford Mass Transit District,Yes,https://lrmtd.org/wp-content/uploads/2022/07/2022_03_30_CAP-Final-Report.pdf,Climate Action Plan,Climate Action Plan,Trent Ford,Illinois State Climatologist,NA,NA,"March 30, 2022",NA,"Transportation, Greenhouse Gas Reduction","The plan emphasizes improving public health through reduced greenhouse gas emissions, climate-resilient transit services, and preparedness for climate hazards.","Public Awareness, Outreach, Community Engagement","Federal Partners, Local Partners","Low-Income, Elderly, Disabilities",Federal Grants,Pollution Reduction,"Strategies include transitioning to electric buses, improving infrastructure for extreme weather, and increasing public awareness on health impacts due to climate changes.",
Lake,Waukegan,-87.8709,42.3694,City of Waukegan,Yes,https://go.boarddocs.com/il/cowil/Board.nsf/files/C3YP2E624C75/$file/SustainabilityPlan2021-final.pdf,Sustainability Plan,Green Town: The City of Waukegan Sustainability Plan,Maya Dutta,Sustainability Coordinator,NA,NA,June 2021,NA,"Climate, Air Quality, and Energy, Economic Development, Land, Land Use, and Lakefront, Mobility, Municipal Leadership and Operations, Sustainable Communities, Water, Waste and Recycling","The Sustainability Plan highlights the impact of climate change on Waukegan's public health, emphasizing increased heat-related mortality, especially for the elderly, youth, and immunocompromised. It notes degraded air quality from pollution and rising temperatures, and increased risk from disease vectors like mosquitoes. The plan also touches on mental health concerns linked to climate stress. Strategies include advocating for improved air quality through partnerships and ensuring cleaner air to protect public health.","Public Awareness, Outreach, Community Engagement",Regional Collaboration,"Elderly, Immunocompromised, High-Risk Populations",NA,"Health Outcomes, Air Quality Improvement","- Climate Resilience and Energy:
Partner in regional resilience efforts.
Promote solar energy and track developments.
Incentivize green building practices.
- Air Quality and Public Engagement:
Enforce air quality standards through partnerships.
Promote energy efficiency and environmental education.
- Green Skills and Economy:
Advocate for sustainability training and support local green job growth.",
Carroll,Savanna,-90.1391,42.0938,City of Savannah,Yes,http://www.savannahga.gov/DocumentCenter/View/9917/SUSTAINABLE-SAVANNAH-VIII-FINAL-Singles?bidId=,Sustainability Plan,A Sustainability Assessment,Nick Deffley,N/A,N/A,N/A,2016,N/A,"Green Space & Community Health, Water Resources, Transportation & Mobility, Built Environment & Energy, Solid Waste","Focuses on creating a sustainable Savannah, enhancing community health through green spaces, efficient water use, and infrastructure improvement",Public Awareness / Outreach / Community Engagement,Local Partners,Health Vulnerability,State Funding,Environmental Outcomes,"Promote health through better air quality, reduce waste via recycling and composting, improve community health access to green spaces and healthy food",
DuPage,Naperville,-88.162,41.7492,City of Naperville,Yes,https://www.naperville.il.us/globalassets/media/sustainability/2010-sustainability-plan.pdf,Sustainability Plan,Environmental Sustainability Plan,N/A,N/A,N/A,N/A,2010,N/A,Environmental Sustainability,The plan does not specifically address healthcare.,"Policy Advocacy, Education, Resource Management","Federal Partners, State Partners, Community Partnership",N/A,"Federal Grants, State Funding",Environmental Outcomes,"Promotes sustainable infrastructure, energy conservation, and waste management practices",
Macon,Decatur,-88.9337,39.856,City of Decatur,Yes,https://decaturil.gov/DocumentCenter/View/270/Sustainable-Decatur-Plan-PDF,Sustainability Plan,Sustainable Decatur,N/A,N/A,N/A,N/A,"November 15, 2010",N/A,"Water, Energy, Land, Waste/Recycling",The plan does not specifically address healthcare.,Public Awareness / Outreach,State Partners,N/A,State Funding,Environmental Outcomes,"Promotes sustainable development strategies such as water reuse, energy audits, and green infrastructure.",
Cook,Mount Prospect,-87.9374,42.0642,Village of Mount Prospect,Yes,https://www.mountprospect.org/home/showpublisheddocument/19815/638507646088670000,Sustainability Plan,Sustainablility Plan,N/A,N/A,vmo@mountprospect.org,847-392-6000,2023,2028,Sustainability,The plan does not specifically address healthcare.,,,,,,,
