County,CAP,Lat,Long,Document Type,Link,Program Name,Name,Title,Email,Phone,Date Issued,Date Expired,Focus Area,Summary,Program Type,Collaboration,Target Population,Funding Source,Outcome Measures,Action Plan
Adams County,Yes,39.9,-91.19,Sustainability Plan,https://www.epa.gov/system/files/documents/2023-12/adams-county-updated-cap-narrative.pdf,Adams County Countywide Action Plan (CAP),N/A,N/A,N/A,N/A,N/A,N/A,"Environmental health, economic development, Chesapeake Bay water quality, agricultural and urban BMPs, reporting and tracking improvements, research, education, and training","achieve pollutant reductions, improve tracking and monitoring of best management practices (BMPs), and enhance public education and training.",Countywide environmental action plan,,"Adams County residents, particularly agricultural and urban sectors",,"Includes pollutant reduction goals, establishment of BMPs, tracking of BMP installations, and long-term water quality improvements.","Details include statewide programmatic recommendations, pollutant reduction activities for agricultural and urban areas, and initiatives for public education and training"
Alexander County,No,0,0,,,,,,,,,,,,,,,,,
Bond County,No,0,0,,,,,,,,,,,,,,,,,
Boone County,No,0,0,,,,,,,,,,,,,,,,,
Brown County,No,0,0,,,,,,,,,,,,,,,,,
Bureau County,No,0,0,,,,,,,,,,,,,,,,,
Calhoun County,No,0,0,,,,,,,,,,,,,,,,,
Carroll County,No,0,0,,,,,,,,,,,,,,,,,
Cass County,No,0,0,,,,,,,,,,,,,,,,,
Champaign County,Yes,40.11,-88.2,Sustainability Plan,https://icap.sustainability.illinois.edu/project/city-champaign-plans,Sustainability Plan,,,,,,,,,,,,,,
Christian County,No,0,0,,,,,,,,,,,,,,,,,
Clark County,No,0,0,,,,,,,,,,,,,,,,,
Clay County,No,0,0,,,,,,,,,,,,,,,,,
Clinton County,No,0,0,,,,,,,,,,,,,,,,,
Coles County,No,0,0,,,,,,,,,,,,,,,,,
Cook County,Yes,41.84,-87.68,Sustainability Plan,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2023-07/2022%20Sustainability%20Report_FINAL%207.24%20%28002%29.pdf,Cook County Sustainability Program,Deborah Stone,"Chief Sustainability Officer, Cook County Department of Environment and Sustainability",N/A,N/A,2022,N/A,"Climate resilience, environmental justice, energy efficiency, green infrastructure, and community health.","The report outlines Cook County’s sustainability initiatives to improve environmental health, reduce emissions, enhance resilience, and promote economic and social well-being. Key projects involve ARPA-funded initiatives addressing pollution reduction, renewable energy, climate resilience, and equitable access to sustainable resources.",Countywide environmental sustainability initiative,,"Residents of Cook County, with a focus on underserved and low-income communities.",,"Reduction in greenhouse gas emissions, increased renewable energy use, brownfield site remediation, expanded EV charging stations, and improvements in public health and environmental conditions in affected communities.","Includes implementing the Clean Energy Plan, brownfield remediation, lead service line replacements, urban farming initiatives, climate resilience planning, solar installations, and various energy efficiency projects."
Crawford County,No,0,0,,,,,,,,,,,,,,,,,
Cumberland County,No,0,0,,,,,,,,,,,,,,,,,
DeKalb County,Yes,41.89,-88.76,Sustainability Plan,https://www.cityofdekalb.com/DocumentCenter/View/372/Sustainability-Plan-PDF?bidId=,City of DeKalb Sustainability Plan,N/A,N/A,N/A,N/A,"October 6, 2014",N/A,"Key areas include city operations, air quality, green economy development, alternative energy, food security, natural environment, housing and urban design, solid waste, transportation, and water resources.","The DeKalb Sustainability Plan is a forward-looking document that outlines sustainable goals and actions across various areas to make the city more resilient and improve the quality of life for current and future residents. The plan emphasizes citizen engagement, environmental health, and strategic goals in urban planning and development.",Citywide sustainability plan,,Residents and stakeholders of the City of DeKalb,,"Sustainable economic development, enhanced community health, improved environmental quality, resource conservation, and energy efficiency.","Includes goals with prioritized short-, medium-, and long-term actions across each focus area, such as reducing greenhouse gas emissions, promoting green business, expanding alternative energy, and improving water and transportation infrastructure."
DeWitt County,No,0,0,,,,,,,,,,,,,,,,,
Douglas County,No,0,0,,,,,,,,,,,,,,,,,
DuPage County,Yes,41.84,-88.09,Sustainability Plan,https://www.dupageforest.org/hubfs/DuPage2022/What%20We%20Do/Master%20Plan%20and%20Capital%20Projects/Project%20Related%20PDFs/FPDDC%20CERSP%20Gaps%2C%20Barriers%2C%20and%20Opportunities%20V4.3.pdf,"Forest Preserve District of DuPage County (FPDDC) Clean Energy, Resiliency, and Sustainability Plan",N/A,N/A,N/A,N/A,May 2023,N/A,"Clean energy, climate resilience, environmental sustainability, ecosystem management, waste management, and sustainable transportation.","This plan aims to enhance sustainability efforts within the FPDDC by focusing on reducing greenhouse gas emissions, improving energy efficiency, increasing climate resilience, and promoting sustainable practices across the preserves.",Countywide environmental and sustainability strategy,,Residents of DuPage County and visitors to the forest preserves,,"Includes reduction in carbon emissions, energy savings, increased resilience to climate change, and enhanced public education on sustainability.","Detailed recommendations across clean energy, resilience, and sustainability categories, including energy audits, green infrastructure projects, land and water management improvements, and waste reduction initiatives."
Edgar County,No,0,0,,,,,,,,,,,,,,,,,
Edwards County,No,0,0,,,,,,,,,,,,,,,,,
Effingham County,No,0,0,,,,,,,,,,,,,,,,,
Fayette County,No,0,0,,,,,,,,,,,,,,,,,
Ford County,No,0,0,,,,,,,,,,,,,,,,,
Franklin County,No,0,0,,,,,,,,,,,,,,,,,
Fulton County,No,0,0,,,,,,,,,,,,,,,,,
Gallatin County,No,0,0,,,,,,,,,,,,,,,,,
Greene County,No,0,0,,,,,,,,,,,,,,,,,
Grundy County,No,0,0,,,,,,,,,,,,,,,,,
Hamilton County,No,0,0,,,,,,,,,,,,,,,,,
Hancock County,No,0,0,,,,,,,,,,,,,,,,,
Hardin County,No,0,0,,,,,,,,,,,,,,,,,
Henderson County,No,0,0,,,,,,,,,,,,,,,,,
Henry County,No,0,0,,,,,,,,,,,,,,,,,
Iroquois County,No,0,0,,,,,,,,,,,,,,,,,
Jackson County,No,0,0,,,,,,,,,,,,,,,,,
Jasper County,No,0,0,,,,,,,,,,,,,,,,,
Jefferson County,No,0,0,,,,,,,,,,,,,,,,,
Jersey County,No,0,0,,,,,,,,,,,,,,,,,
Jo Daviess County,No,0,0,,,,,,,,,,,,,,,,,
Johnson County,No,0,0,,,,,,,,,,,,,,,,,
Kane County,Yes,41.94,88.43,Climate Action Plan,https://www.kanecountyil.gov/sustainability/PublishingImages/Pages/Climate-Action-Planning/Kane%20County%20Climate%20Action%20Implementation%20Plan%20052124%20REDUCED.pdf,Kane County Climate Action Implementation Plan,N/A,N/A,N/A,N/A,August 2022,N/A,"Community-wide GHG reduction, resilience building, public health, transportation, waste, and energy sectors.","The action plan strategies concerning healthcare in the document addresss the following points:

Health Vulnerabilities and Resilience:
Focus on reducing risks for vulnerable populations, including children, seniors, individuals with chronic illnesses, and economically disadvantaged groups.
Address the health impacts of climate change, such as heatwaves, poor air quality, extended allergy seasons, and vector-borne diseases.
Air Quality Improvement:
Mitigate air pollution exacerbated by wildfires and climate change.
Reduce exposure to allergens, pollutants, and ozone levels that can affect respiratory health.
Flood and Weather-Related Health Risks:
Develop strategies to manage health impacts related to flooding and extreme weather events, including waterborne diseases and infrastructure failures that could limit healthcare access.
Community Engagement and Education:
Raise awareness about the health impacts of climate change and encourage community-wide actions to mitigate these effects.
Engage healthcare providers and organizations in implementing climate resilience strategies.
Infrastructure Resilience:
Strengthen healthcare infrastructure to withstand extreme weather events and ensure continuity of care during disasters.
Policy Advocacy for Preventive Care:
Advocate for policies that address the long-term healthcare challenges posed by climate change, focusing on proactive health measures and prevention.
These strategies aim to integrate healthcare considerations into broader climate resilience and mitigation efforts, ensuring the well-being of the community in the face of climate impacts.","Public Awareness, Outreach, Community Engagement, Policy Advocacy, Preventive Care",Local Partners,"Children/Adolescents, Adults, Elderly, Health Vulnerability (High-Risk Populations)",N/A,"Health Outcomes, Pollution Reduction","Strategies include improving air quality, mitigating extreme weather health effects, and promoting resilient healthcare infrastructure."
Kankakee County,No,0,0,,,,,,,,,,,,,,,,,
Kendall County,No,0,0,,,,,,,,,,,,,,,,,
Knox County,No,0,0,,,,,,,,,,,,,,,,,
Lake County,No,0,0,,,,,,,,,,,,,,,,,
LaSalle County,No,0,0,,,,,,,,,,,,,,,,,
Lawrence County,No,0,0,,,,,,,,,,,,,,,,,
Lee County,No,0,0,,,,,,,,,,,,,,,,,
Livingston County,No,0,0,,,,,,,,,,,,,,,,,
Logan County,No,0,0,,,,,,,,,,,,,,,,,
Macon County,No,0,0,,,,,,,,,,,,,,,,,
Macoupin County,No,0,0,,,,,,,,,,,,,,,,,
Madison County,Yes,38.83,89.9,Sustainability Plan,https://cms4files.revize.com/madisoncountyilus/document_center/Planning_Development/4__Sustainability_Policies.pdf,Sustainability Policy,N/A,N/A,N/A,N/A,N/A,N/A,"Sustainability, Energy, Air, Waste",The plan does not specifically address healthcare.,"Education, Policy Advocacy, Public Awareness","State Partners, Public-Private Partnerships",N/A,State Funding,"Health Outcomes, Air Quality Improvement, Pollution Reduction","Strategies include energy audits, retrofitting facilities, anti-idling policies, green building practices, renewable energy initiatives, and public education for sustainable practices."
Marion County,No,0,0,,,,,,,,,,,,,,,,,
Marshall County,No,0,0,,,,,,,,,,,,,,,,,
Mason County,No,0,0,,,,,,,,,,,,,,,,,
Massac County,No,0,0,,,,,,,,,,,,,,,,,
McDonough County,No,0,0,,,,,,,,,,,,,,,,,
McHenry County,No,0,0,,,,,,,,,,,,,,,,,
McLean County,No,0,0,,,,,,,,,,,,,,,,,
Menard County,No,0,0,,,,,,,,,,,,,,,,,
Mercer County,No,0,0,,,,,,,,,,,,,,,,,
Monroe County,No,0,0,,,,,,,,,,,,,,,,,
Montgomery County,No,0,0,,,,,,,,,,,,,,,,,
Morgan County,No,0,0,,,,,,,,,,,,,,,,,
Moultrie County,No,0,0,,,,,,,,,,,,,,,,,
Ogle County,No,0,0,,,,,,,,,,,,,,,,,
Peoria County,Yes,40.78,89.73,Sustainability Plan,https://www.peoriacounty.gov/DocumentCenter/View/11409/2021-Sustainability-plan,Operational Sustainability Plan 2021,N/A,N/A,N/A,N/A,2011,N/A,Sustainability,The plan does not specifically address healthcare.,Policy Advocacy,N/A,N/A,N/A,Environmental Outcomes,"Strategies cover sustainable building practices, resource conservation, and reduction of environmental impact."
Perry County,No,0,0,,,,,,,,,,,,,,,,,
Piatt County,No,0,0,,,,,,,,,,,,,,,,,
Pike County,No,0,0,,,,,,,,,,,,,,,,,
Pope County,No,0,0,,,,,,,,,,,,,,,,,
Pulaski County,No,0,0,,,,,,,,,,,,,,,,,
Putnam County,No,0,0,,,,,,,,,,,,,,,,,
Randolph County,No,0,0,,,,,,,,,,,,,,,,,
Richland County,No,0,0,,,,,,,,,,,,,,,,,
Rock Island County,No,0,0,,,,,,,,,,,,,,,,,
St. Clair County,No,0,0,,,,,,,,,,,,,,,,,
Saline County,No,0,0,,,,,,,,,,,,,,,,,
Sangamon County,No,0,0,,,,,,,,,,,,,,,,,
Schuyler County,No,0,0,,,,,,,,,,,,,,,,,
Scott County,No,0,0,,,,,,,,,,,,,,,,,
Shelby County,Yes,39.4,88.8,Climate Action Plan,,Eigth County Climate Action Plan,,,,,,,,,,,,,,
Stark County,Yes,41.1,89.8,Climate Action Plan,https://www.transit.dot.gov/sites/fta.dot.gov/files/2022-04/SARTA-Climate-Action-Plan.pdf,SARTA Climate Action Plan,N/A,N/A,N/A,N/A,April 2022,N/A,Transportation and Environmental,"The plan focuses on Stark Area RTA’s initiatives to create a sustainable public transit system through alternative fuels like CNG and hydrogen, reducing GHG emissions, and improving facilities for environmental sustainability.",Research (Environmental Assessments),Federal Partners,N/A,Federal Grants,Pollution Reduction,"Strategies include replacing diesel vehicles with CNG and hydrogen-fueled ones, building an on-site hydrogen production facility, utilizing solar power for buildings, and increasing monitoring and reduction of GHG emissions."
Stephenson County,No,0,0,,,,,,,,,,,,,,,,,
Tazewell County,No,0,0,,,,,,,,,,,,,,,,,
Union County,No,0,0,,,,,,,,,,,,,,,,,
Vermilion County,No,0,0,,,,,,,,,,,,,,,,,
Wabash County,No,0,0,,,,,,,,,,,,,,,,,
Warren County,No,0,0,,,,,,,,,,,,,,,,,
Washington County,No,0,0,,,,,,,,,,,,,,,,,
Wayne County,No,0,0,,,,,,,,,,,,,,,,,
White County,No,0,0,,,,,,,,,,,,,,,,,
Whiteside County,No,0,0,,,,,,,,,,,,,,,,,
Will County,No,0,0,,,,,,,,,,,,,,,,,
Williamson County,No,0,0,,,,,,,,,,,,,,,,,
Winnebago County,Yes,42.33,89.17,Climate Action Plan,https://engager1.mysocialpinpoint.com/climate-action-plan-cap,Climate Action Plan,Lauren Kleve,Environmental Planner,LKleve@R1Planning.org,815-319-4180,Summer 2023,Winter 2025,"Air Quality, Built Environment, Energy, Natural & Working Lands, Waste Management, Water","The Climate Action Plan is in progress, currently in Phase 4: Identifying Climate Action Projects, with completion targeted for Winter 2025. The plan focuses on mitigating public health impacts such as extreme temperatures, flooding, and declining biodiversity while ensuring equity across all climate mitigation and adaptation strategies.","Public Awareness, Outreach, Community Engagement",Local Partners,"Health Vulnerability, High-Risk Populations",N/A,Air Quality Improvement,The plan includes strategies to engage the community in reducing climate-related health vulnerabilities and improving air quality.
Woodford County,No,0,0,,,,,,,,,,,,,,,,,
