County,CAP,Document,Link,Program Name,Name,Title,Email,Phone,Date Issued,Date Expired,Focus Area,Summary,Program Type,Collaboration,Target Population,Funding Source,Outcome Measures,Action Plan
Adams County,Yes,Sustainability Plan,https://www.epa.gov/system/files/documents/2023-12/adams-county-updated-cap-narrative.pdf,Adams County Countywide Action Plan (CAP),,,,,,,"Environmental health, economic development, Chesapeake Bay water quality, agricultural and urban BMPs, reporting and tracking improvements, research, education, and training","achieve pollutant reductions, improve tracking and monitoring of best management practices (BMPs), and enhance public education and training.",Countywide environmental action plan,,"Adams County residents, particularly agricultural and urban sectors",,"Includes pollutant reduction goals, establishment of BMPs, tracking of BMP installations, and long-term water quality improvements.","Details include statewide programmatic recommendations, pollutant reduction activities for agricultural and urban areas, and initiatives for public education and training"
Alexander County,No,Comprehensive Plan,https://alexandercountync.gov/pdf/comprehensive-plan.pdf,Alexander County 2045 Comprehensive Plan,Comprehensive Plan Steering Committee,,,,4.8.2024,,"Land use, transportation, economic development, housing, public services, environment and recreation, historic and cultural resources.","The plan outlines a vision for Alexander County’s future development, addressing the quality of life, economic growth, infrastructure, and preservation of natural resources",Comprehensive long-term development and strategic planning document,,"Residents of Alexander County, businesses, and future populations",,"Includes growth management, quality of life enhancements, preservation of natural and cultural resources, economic diversification, infrastructure improvements","The plan includes specific goals related to managing land use, promoting mixed-use development, protecting sensitive natural areas, and enhancing transportation and public facilities."
Bond County,No,Hazard Mitigation Plan,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-bondcounty.pdf,Bond County Hazard Mitigation Plan,Allan L. Davis,Coordinator,,,February 2010,,"Multi-hazard mitigation including tornadoes, severe thunderstorms, winter storms, flooding, and hazardous material releases.","The Bond County Hazard Mitigation Plan is developed to reduce or eliminate long-term risks to people and property from natural and human-caused hazards. It includes risk assessments, mitigation goals, and an action plan.",Countywide hazard mitigation plan,,"Bond County residents, infrastructure, and facilities vulnerable to identified hazards.",,"Reduction of vulnerability to hazards, improved resilience of essential services, and better emergency response infrastructure.","Includes hazard-specific risk assessments, goals, and actions across different jurisdictions, along with an implementation strategy for mitigation projects."
Boone County,No,Comprehensive Plan,https://cms8.revize.com/revize/booneil/Comprehensive%20Plan%202020.pdf,Boone County Comprehensive Plan 2020,,,,,No specific issue date found; planning process occurred from 2017 to 2018,Target horizon set for 2029,"Livability and recreation, environmental sustainability, economic development, housing, education, land use, transportation, health, wellness, and safety","A long-term comprehensive development plan covering diverse topics aimed at guiding Boone County's future growth, quality of life, and sustainability",,,Boone County residents and businesses,,"Improvement in quality of life, sustainable development, and resilience across focus areas","Goals and strategies for each focus area, including specific initiatives for recreation, economic growth, housing, transportation, and public health and safety"
Brown County,No,,,,,,,,,,,,,,,,,
Bureau County,No,,,,,,,,,,,,,,,,,
Calhoun County,No,,,,,,,,,,,,,,,,,
Carroll County,No,,,,,,,,,,,,,,,,,
Cass County,No,,,,,,,,,,,,,,,,,
Champaign County,Check,Sustainability Plan?,https://icap.sustainability.illinois.edu/project/city-champaign-plans,,,,,,,,,,,,,,,
Christian County,No,,,,,,,,,,,,,,,,,
Clark County,No,,,,,,,,,,,,,,,,,
Clay County,No,,,,,,,,,,,,,,,,,
Clinton County,No,,,,,,,,,,,,,,,,,
Coles County,No,Comprehensive Plan,https://www.colesco.illinois.gov/static/plans/Comp%20Plan%20with%20Attachments.pdf,Coles County Comprehensive Plan,,,,,"Adopted on November 14, 2006",Updated in 2012 with a recommendation for the next update by 2017.,"Land use, environmental sustainability, agriculture, infrastructure, transportation, economic development, and cultural/historical preservation.","The plan addresses growth management, land use patterns, transportation, economic strategies, and preservation of natural and cultural resources to guide development in Coles County over 10–20 years.",Countywide comprehensive plan,,"Coles County residents, local businesses, agricultural communities, and regional partners.",,"Improvement in quality of life, economic resilience, land preservation, sustainable infrastructure development, and protection of natural resources.","Includes goals and strategies for various areas, such as enhancing community facilities, establishing development standards, economic growth, farmland protection, housing, intergovernmental cooperation, recreation and open space, and transportation enhancements."
Cook County,No,Sustainability Plan,https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2023-07/2022%20Sustainability%20Report_FINAL%207.24%20%28002%29.pdf,Cook County Sustainability Program,Deborah Stone,"Chief Sustainability Officer, Cook County Department of Environment and Sustainability",,,2022,,"Climate resilience, environmental justice, energy efficiency, green infrastructure, and community health.","The report outlines Cook County’s sustainability initiatives to improve environmental health, reduce emissions, enhance resilience, and promote economic and social well-being. Key projects involve ARPA-funded initiatives addressing pollution reduction, renewable energy, climate resilience, and equitable access to sustainable resources.",Countywide environmental sustainability initiative,,"Residents of Cook County, with a focus on underserved and low-income communities.",,"Reduction in greenhouse gas emissions, increased renewable energy use, brownfield site remediation, expanded EV charging stations, and improvements in public health and environmental conditions in affected communities.","Includes implementing the Clean Energy Plan, brownfield remediation, lead service line replacements, urban farming initiatives, climate resilience planning, solar installations, and various energy efficiency projects."
Crawford County,No,,,,,,,,,,,,,,,,,
Cumberland County,No,Comprehensive Plan,https://cumberlandcoil.gov/pdf/Cumberland%20County%20Comp%20Plan%20Draft.pdf,,,,,,,,,,,,,,,
DeKalb County,Yes,Sustainability Plan,https://www.cityofdekalb.com/DocumentCenter/View/372/Sustainability-Plan-PDF?bidId=,City of DeKalb Sustainability Plan,,,,,"October 6, 2014",,"Key areas include city operations, air quality, green economy development, alternative energy, food security, natural environment, housing and urban design, solid waste, transportation, and water resources.","The DeKalb Sustainability Plan is a forward-looking document that outlines sustainable goals and actions across various areas to make the city more resilient and improve the quality of life for current and future residents. The plan emphasizes citizen engagement, environmental health, and strategic goals in urban planning and development.",Citywide sustainability plan,,Residents and stakeholders of the City of DeKalb,,"Sustainable economic development, enhanced community health, improved environmental quality, resource conservation, and energy efficiency.","Includes goals with prioritized short-, medium-, and long-term actions across each focus area, such as reducing greenhouse gas emissions, promoting green business, expanding alternative energy, and improving water and transportation infrastructure."
DeWitt County,No,Comprehensive Plan,https://cms2.revize.com/revize/dewitt/Documents/Departments/Planning%20and%20Zoning/DeWitt%20County%20Comprehensive%20Plan%20FINAL%201-2-19%20(1).pdf,,,,,,,,,,,,,,,
Douglas County,No,,,,,,,,,,,,,,,,,
DuPage County,Yes,Sustainability Plan,https://www.dupageforest.org/hubfs/DuPage2022/What%20We%20Do/Master%20Plan%20and%20Capital%20Projects/Project%20Related%20PDFs/FPDDC%20CERSP%20Gaps%2C%20Barriers%2C%20and%20Opportunities%20V4.3.pdf,"Forest Preserve District of DuPage County (FPDDC) Clean Energy, Resiliency, and Sustainability Plan",,,,,May 2023,,"Clean energy, climate resilience, environmental sustainability, ecosystem management, waste management, and sustainable transportation.","This plan aims to enhance sustainability efforts within the FPDDC by focusing on reducing greenhouse gas emissions, improving energy efficiency, increasing climate resilience, and promoting sustainable practices across the preserves.",Countywide environmental and sustainability strategy,,Residents of DuPage County and visitors to the forest preserves,,"Includes reduction in carbon emissions, energy savings, increased resilience to climate change, and enhanced public education on sustainability.","Detailed recommendations across clean energy, resilience, and sustainability categories, including energy audits, green infrastructure projects, land and water management improvements, and waste reduction initiatives."
Edgar County,No,Multi-Hazard Mitigation Plan,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-edgarcounty.pdf,,,,,,,,,,,,,,,
Edwards County,No,Multi-Hazard Mitigation Plan,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-edwardscounty.pdf,,,,,,,,,,,,,,,
Effingham County,No,,,,,,,,,,,,,,,,,
Fayette County,No,,,,,,,,,,,,,,,,,
Ford County,No,,,,,,,,,,,,,,,,,
Franklin County,No,,,,,,,,,,,,,,,,,
Fulton County,No,Comprehensive Plan,https://fultoncountyil.gov/wp-content/uploads/2022/11/comp-plan_20141106080917.pdf,,,,,,,,,,,,,,,
Gallatin County,No,,,,,,,,,,,,,,,,,
Greene County,No,,,,,,,,,,,,,,,,,
Grundy County,No,Comprehensive Plan,https://gedc.com/wp-content/uploads/2020/11/Grundy-County-Comprehensive-Plan-ADOPTED-2014-2030.pdf,,,,,,,,,,,,,,,
Hamilton County,No,,,,,,,,,,,,,,,,,
Hancock County,No,,,,,,,,,,,,,,,,,
Hardin County,No,,,,,,,,,,,,,,,,,
Henderson County,No,,,,,,,,,,,,,,,,,
Henry County,No,,,,,,,,,,,,,,,,,
Iroquois County,No,,,,,,,,,,,,,,,,,
Jackson County,No,,,,,,,,,,,,,,,,,
Jasper County,No,,,,,,,,,,,,,,,,,
Jefferson County,No,,,,,,,,,,,,,,,,,
Jersey County,No,Hazard Mitigation Plan,https://jerseycountyillinois.us/wp-content/uploads/2022/10/Mitigation_Plan_2021_FINAL-compressed.pdf,,,,,,,,,,,,,,,
Jo Daviess County,No,,,,,,,,,,,,,,,,,
Johnson County,No,,,,,,,,,,,,,,,,,
Kane County,Yes,Climate Action Plan,https://www.kanecountyil.gov/sustainability/PublishingImages/Pages/Climate-Action-Planning/Kane%20County%20Climate%20Action%20Implementation%20Plan%20052124%20REDUCED.pdf,https://www.kanecountyil.gov/sustainability/Documents/Climate-Action/Kane%20County%20Climate%20Action%20Baseline%20Assessment%20071923.pdf,None of the links working right now because of elections??,,,,,,,,,,,,,
Kankakee County,No,Comprehensive Plan,https://www.k3county.net/DocumentCenter/View/254/Full-Comprehensive-Plan-PDF?bidId=,,,,,,,,,,,,,,,
Kendall County,No,Community Action Plan,https://www.kendallhealth.org/wp-content/uploads/2017/09/Community-Action-Plan.pdf,,,,,,,,,,,,,,,
Knox County,No,Multi-Hazard Mitigation Plan,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-knoxcounty.pdf,,,,,,,,,,,,,,,
Lake County,No,,,,,,,,,,,,,,,,,
LaSalle County,No,,,,,,,,,,,,,,,,,
